q,user-throughput,ed,QoE,Revenue per user,Revenue,Revenue in percentage,eb,U,ce
0.8464499999999999,393131.16315,15346.5,1,2.2,869862.7862999999,1,22197.382619155014,464447,6124174.29
0.8464499999999999,502630.47449999995,19568.1,1,2.2,1112146.749,1,26864.56768883711,593810,7893575.858999999
0.8464499999999999,460006.63829999993,18160.899999999998,1,2.2,1017834.9966,1,21617.3806900918,543454,7458136.802999999
0.5925149999999999,319945.65718499996,3518.7999999999997,0.9,0.2,75597.06,0.09090909090909091,17282.07979466219,539979,1446332.3639999998
0.8464499999999999,342230.73884999997,13633.9,1,2.2,757237.8176999999,1,14068.61882546652,404313,5713422.134
0.8464499999999999,332577.82304999995,12930.3,1,2.2,735879.2661,1,13074.223444423495,392909,5486067.683999999
0.8464499999999999,287598.31649999996,11217.699999999999,1,2.2,636355.2329999999,1,12210.727472084587,339770,4731738.037
0.8464499999999999,298241.57879999996,11563.0,1,2.2,659905.0776000001,1,13380.896761470287,352344,4866519.81
0.8464499999999999,332430.54075,12930.3,1,2.2,735553.3815,1,14675.581529050498,392735,5305560.6959999995
0.8464499999999999,447645.92895,17457.3,1,2.2,990485.0379,1,19531.27561785506,528851,6887079.4229999995
0.8464499999999999,568242.1998,22037.199999999997,1,2.2,1257322.7196,1,25877.950342732507,671324,8487407.207999999
0.8464499999999999,756807.5591999999,29073.199999999997,1,2.2,1674552.3983999998,1,33737.54421947125,894096,11085029.695999999
0.8464499999999999,869153.4818999999,33560.299999999996,1,2.2,1923134.9238,1,37895.562114445944,1026822,12926085.148
0.8464499999999999,934747.4317499999,36016.399999999994,1,2.2,2068271.5635,1,45668.82340802185,1104315,14241604.887999998
0.8464499999999999,975142.5650999999,37423.59999999999,1,2.2,2157651.9702,1,48714.344226435416,1152038,15277810.463999996
0.8464499999999999,1024808.0188499999,39494.5,1,2.2,2267544.3776999996,1,49651.96942160893,1210713,16142192.040000001
0.8464499999999999,1095266.51685,42003.5,1,2.2,2423444.5737,1,52153.62597184903,1293953,17039559.845
0.8464499999999999,1216835.35875,46530.5,1,2.2,2692434.2175,1,56039.88856057408,1437575,18739228.265
0.8464499999999999,1249712.3232,47937.7,1,2.2,2765179.5264000003,1,57858.33778863898,1476416,19223976.453999996
0.8464499999999999,1285273.3805999998,49305.0,1,2.2,2843863.8012,1,59488.576457393516,1518428,19782645.150000002
0.8464499999999999,1211780.3593499998,46530.5,1,2.2,2681249.2587,1,60072.5056486623,1431603,18435384.099999998
0.8464499999999999,1206393.55155,46490.6,1,2.2,2669330.1231,1,62870.11607899536,1425239,18102974.733999997
0.8464499999999999,1202154.5299499999,46437.7,1,2.2,2659950.6399000003,1,62143.29275817667,1420231,18031758.91
0.8464499999999999,1028653.4411999999,39494.5,1,2.2,2276052.9624,1,53760.20405976882,1215256,15409569.065000001
0.8464499999999999,817525.1105999999,31489.399999999994,1,2.2,1808899.2612,1,40958.906225930674,965828,12265121.299999997
0.8464499999999999,611755.65495,23749.8,1,2.2,1353602.8899,1,28857.69028701571,722731,9176685.222
0.8464499999999999,458240.09715,17855.5,1,2.2,1013926.2542999999,1,23600.50851735833,541367,6897043.984999999
0.8464499999999999,362218.80915,14337.5,1,2.2,801464.4783,1,15101.777249974462,427927,5613991.5
0.8464499999999999,301102.57979999995,11921.3,1,2.2,666235.4796,1,12739.288244557203,355724,4769354.490999999
0.8464499999999999,279914.2434,10859.399999999998,1,2.2,619353.0467999999,1,12161.109972075248,330692,4433241.455999999
0.8464499999999999,290630.30039999995,11523.099999999999,1,2.2,643063.9607999999,1,13323.150272362383,343352,4823108.736
0.8464499999999999,365889.01635,14337.5,1,2.2,809585.3727,1,15440.820449563958,432263,6148780.25
0.8464499999999999,534801.4996499999,20669.9,1,2.2,1183330.0593,1,22398.804973456266,631817,8877308.652
0.8464499999999999,727608.4199999999,27971.399999999998,1,2.2,1609944.84,1,34979.55670271659,859600,11974836.054
0.8464499999999999,989867.4092999999,38087.299999999996,1,2.2,2190232.9386,1,45170.85088561923,1169434,16256421.385999998
0.8464499999999999,1177188.4871999999,45123.3,1,2.2,2604709.4544,1,53563.8711998307,1390736,19191390.723
0.8464499999999999,1216324.9493999998,46530.5,1,2.2,2691304.8588,1,54680.71962028248,1436972,20096522.95
0.8464499999999999,1289182.2866999998,49650.3,1,2.2,2852512.8534000004,1,56210.94887076252,1523046,21852090.036000002
0.8464499999999999,1351004.45535,51761.09999999999,1,2.2,2989303.8507,1,57951.504672688745,1596083,23207089.185
0.8464499999999999,1304122.97565,50314.0,1,2.2,2885571.4113000003,1,55344.85074953154,1540697,22554759.919999998
0.8464499999999999,1286983.2096,49610.399999999994,1,2.2,2847647.0591999996,1,51641.556761943924,1520448,21712983.768
0.5925149999999999,906424.1143649998,9998.699999999999,0.9,0.2,214170.74,0.09090909090909091,49454.556281805875,1529791,4283243.106
0.5925149999999999,874658.7926999999,9653.5,0.9,0.2,206665.19999999998,0.09090909090909091,46762.58642449672,1476180,4095207.7700000005
0.5925149999999999,870033.6206099999,9613.6,0.9,0.2,205572.36,0.09090909090909091,46128.58262084646,1468374,4059150.328
0.5925149999999999,861705.2297699999,9480.899999999998,0.9,0.2,203604.52000000002,0.09090909090909091,45771.888498885135,1454318,3954388.580999999
0.8464499999999999,1163266.9240499998,44725.09999999999,1,2.2,2573905.8681,1,46622.136227300805,1374289,18102484.224999998
0.5925149999999999,862165.0214099998,9480.899999999998,0.9,0.2,203713.16,0.09090909090909091,43379.92877503251,1455094,3645406.0499999993
