q,user-throughput,ed,QoE,Revenue per user,Revenue,Revenue in percentage,eb,U,ce
0.1670625,77591.6769375,694.4,0.24000000000000002,0,0.0,0.0,965.6855710920665,464447,277107.26399999997
0.1670625,99203.38312500001,851.3,0.24000000000000002,0,0.0,0.0,1180.470133121793,593810,343405.90699999995
0.1670625,90790.78387500001,812.3,0.24000000000000002,0,0.0,0.0,937.6456424866681,543454,333587.241
0.1670625,90210.2416875,799.3,0.24000000000000002,0,0.0,0.0,761.6988832931903,539979,328536.279
0.1670625,67545.5405625,602.5,0.24000000000000002,0,0.0,0.0,635.9562473154201,404313,252483.65
0.1670625,65640.3598125,576.5,0.24000000000000002,0,0.0,0.0,602.5603728669747,392909,244597.41999999998
0.1670625,56762.825625,484.6,0.24000000000000002,0,0.0,0.0,527.4983760460871,339770,204409.12600000002
0.1670625,58863.4695,497.6,0.24000000000000002,0,0.0,0.0,616.6942286216647,352344,209424.912
0.1670625,65611.2909375,576.5,0.24000000000000002,0,0.0,0.0,648.53327890427,392735,236549.48
0.1670625,88351.1701875,746.4,0.24000000000000002,0,0.0,0.0,870.4027046209221,528851,294462.26399999997
0.1670625,112153.06575000001,969.2,0.24000000000000002,0,0.0,0.0,1129.834748403178,671324,373277.688
0.1670625,149369.913,1296.9,0.24000000000000002,0,0.0,0.0,1464.0399286613515,894096,494482.032
0.1670625,171543.45037500001,1466.8,0.24000000000000002,0,0.0,0.0,1666.4139889915878,1026822,564952.688
0.1670625,184489.6246875,1571.6999999999998,0.24000000000000002,0,0.0,0.0,1960.4176824642147,1104315,621481.614
0.1670625,192462.348375,1610.6999999999998,0.24000000000000002,0,0.0,0.0,2125.810954340584,1152038,657552.168
0.1670625,202264.7405625,1715.6,0.24000000000000002,0,0.0,0.0,2161.551321197886,1210713,701200.032
0.1670625,216171.0230625,1833.5,0.24000000000000002,0,0.0,0.0,2248.443306135529,1293953,743795.9450000001
