q,user-throughput,QoE,total rev,rev in percentage,ed,eb,U,ce,Objective
0.8464499999999999,393131.16315,1.0,869862.7862999998,1.0,15372.5,"0    142183.010659
Name: HighCarbonBudget, dtype: float64",464447,6134549.85,1.0
0.8464500000000003,502630.4745000001,1.0,1112146.7490000003,1.0,19568.1,"0    140656.814085
Name: HighCarbonBudget, dtype: float64",593810,7893575.858999999,1.0
0.8464500000000003,460006.63830000017,1.0,1017834.9966000003,1.0,18160.899999999998,"0    138163.372619
Name: HighCarbonBudget, dtype: float64",543454,7458136.802999999,1.0
0.8464500000000001,457065.2245500001,1.0,1011326.6691000002,1.0,17550.1,"0    138042.36244
Name: HighCarbonBudget, dtype: float64",539979,7213617.602999999,1.0
0.8464500000000003,342230.7388500001,1.0,757237.8177000002,1.0,13633.9,"0    135397.203822
Name: HighCarbonBudget, dtype: float64",404313,5713422.134,1.0
0.8464500000000001,332577.82305000006,1.0,735879.2661000001,1.0,12930.3,"0    133731.385485
Name: HighCarbonBudget, dtype: float64",392909,5486067.683999999,1.0
0.8464500000000003,287598.3165000001,1.0,636355.2330000001,1.0,11217.699999999999,"0    134514.478636
Name: HighCarbonBudget, dtype: float64",339770,4731738.037,1.0
0.8464500000000003,298241.5788000001,1.0,659905.0776000002,1.0,11563.0,"0    134814.912523
Name: HighCarbonBudget, dtype: float64",352344,4866519.81,1.0
0.8464499999999999,332430.54075,1.0,735553.3814999999,1.0,12943.3,"0    138281.22498
Name: HighCarbonBudget, dtype: float64",392735,5310894.856,1.0
0.8464500000000003,447645.92895000015,1.0,990485.0379000002,1.0,17457.3,"0    143822.849189
Name: HighCarbonBudget, dtype: float64",528851,6887079.4229999995,1.0
0.8464500000000003,568242.1998000002,1.0,1257322.7196000002,1.0,22037.199999999997,"0    147321.888751
Name: HighCarbonBudget, dtype: float64",671324,8487407.207999999,1.0
0.8464500000000003,756807.5592000003,1.0,1674552.3984000005,1.0,29073.199999999997,"0    148813.345136
Name: HighCarbonBudget, dtype: float64",894096,11085029.695999999,1.0
0.8464500000000001,869153.4819000001,1.0,1923134.9238000002,1.0,33560.299999999996,"0    147314.238845
Name: HighCarbonBudget, dtype: float64",1026822,12926085.148,1.0
0.8464500000000003,934747.4317500003,1.0,2068271.5635000006,1.0,36016.399999999994,"0    143491.862409
Name: HighCarbonBudget, dtype: float64",1104315,14241604.887999998,1.0
0.8464500000000003,975142.5651000002,1.0,2157651.9702000003,1.0,37423.59999999999,"0    138985.773647
Name: HighCarbonBudget, dtype: float64",1152038,15277810.463999996,1.0
0.8464500000000003,1024808.0188500003,1.0,2267544.3777,1.0,39494.5,"0    138822.549016
Name: HighCarbonBudget, dtype: float64",1210713,16142192.040000001,1.0
0.8464500000000001,1095266.5168500002,1.0,2423444.5737,1.0,42003.5,"0    139866.27612
Name: HighCarbonBudget, dtype: float64",1293953,17039559.845,1.0
0.8464499999999999,1216835.35875,1.0,2692434.2174999993,1.0,46543.5,"0    140887.324594
Name: HighCarbonBudget, dtype: float64",1437575,18744463.755000003,1.0
0.8464500000000003,1249712.3232000005,1.0,2765179.526400001,1.0,47937.7,"0    141488.085965
Name: HighCarbonBudget, dtype: float64",1476416,19223976.453999996,1.0
0.8464500000000001,1285273.3806000003,1.0,2843863.8012,1.0,49305.0,"0    141414.032434
Name: HighCarbonBudget, dtype: float64",1518428,19782645.150000002,1.0
0.8464500000000003,1211780.3593500003,1.0,2681249.2587,1.0,46530.5,"0    143209.369595
Name: HighCarbonBudget, dtype: float64",1431603,18435384.099999998,1.0
0.8464500000000003,1206393.5515500004,1.0,2669330.1231000004,1.0,46490.6,"0    145713.94292
Name: HighCarbonBudget, dtype: float64",1425239,18102974.733999997,1.0
0.8464500000000003,1202154.5299500003,1.0,2659950.6399000008,1.0,46437.7,"0    146122.977681
Name: HighCarbonBudget, dtype: float64",1420231,18031758.91,1.0
0.8464500000000003,1028653.4412000004,1.0,2276052.9624000005,1.0,39494.5,"0    145422.642011
Name: HighCarbonBudget, dtype: float64",1215256,15409569.065000001,1.0
0.8464500000000003,817525.1106000002,1.0,1808899.2612000005,1.0,31489.399999999994,"0    145672.791357
Name: HighCarbonBudget, dtype: float64",965828,12265121.299999997,1.0
0.8464500000000003,611755.6549500002,1.0,1353602.8899000003,1.0,23749.8,"0    146845.291632
Name: HighCarbonBudget, dtype: float64",722731,9176685.222,1.0
0.8464500000000003,458240.09715000016,1.0,1013926.2543000001,1.0,17855.5,"0    146890.911108
Name: HighCarbonBudget, dtype: float64",541367,6897043.984999999,1.0
0.8464500000000003,362218.8091500001,1.0,801464.4783000002,1.0,14337.5,"0    144906.405745
Name: HighCarbonBudget, dtype: float64",427927,5613991.5,1.0
0.8464500000000001,301102.57980000007,1.0,666235.4796000001,1.0,11921.3,"0    141824.061373
Name: HighCarbonBudget, dtype: float64",355724,4769354.490999999,1.0
0.8464500000000001,279914.24340000004,1.0,619353.0468000001,1.0,10859.399999999998,"0    138985.773647
Name: HighCarbonBudget, dtype: float64",330692,4433241.455999999,1.0
0.8464500000000003,290630.30040000007,1.0,643063.9608,1.0,11523.099999999999,"0    135558.945512
Name: HighCarbonBudget, dtype: float64",343352,4823108.736,1.0
0.8464500000000001,365889.01635000005,1.0,809585.3727000002,1.0,14337.5,"0    132303.204388
Name: HighCarbonBudget, dtype: float64",432263,6148780.25,1.0
0.8464500000000001,534801.4996500001,1.0,1183330.0593,1.0,20669.9,"0    132112.210659
Name: HighCarbonBudget, dtype: float64",631817,8877308.652,1.0
0.8464500000000003,727608.4200000003,1.0,1609944.8400000003,1.0,27971.399999999998,"0    132534.984545
Name: HighCarbonBudget, dtype: float64",859600,11974836.054,1.0
0.8464500000000003,989867.4093000003,1.0,2190232.9386000005,1.0,38087.299999999996,"0    132935.551834
Name: HighCarbonBudget, dtype: float64",1169434,16256421.385999998,1.0
0.8464500000000003,1177188.4872000003,1.0,2604709.4544000006,1.0,45123.3,"0    133407.519771
Name: HighCarbonBudget, dtype: float64",1390736,19191390.723,1.0
0.84645,1216324.9494,1.0,2691304.8588000005,1.0,46543.5,"0    131371.966274
Name: HighCarbonBudget, dtype: float64",1436972,20102137.65,1.0
0.8464500000000003,1289182.2867000003,1.0,2852512.853400001,1.0,49650.3,"0    128918.368249
Name: HighCarbonBudget, dtype: float64",1523046,21852090.036000002,1.0
0.8464500000000003,1351004.4553500004,1.0,2989303.8507000003,1.0,51761.09999999999,"0    126551.91755
Name: HighCarbonBudget, dtype: float64",1596083,23207089.185,1.0
0.8464500000000003,1304122.9756500004,1.0,2885571.4113000007,1.0,50314.0,"0    126571.678936
Name: HighCarbonBudget, dtype: float64",1540697,22554759.919999998,1.0
0.8464500000000001,1286983.2096000002,1.0,2847647.0592000005,1.0,49610.399999999994,"0    129640.030694
Name: HighCarbonBudget, dtype: float64",1520448,21712983.768,1.0
0.8464499999999999,1294891.5919499998,1.0,2865145.5639,1.0,49676.3,"0    132451.450193
Name: HighCarbonBudget, dtype: float64",1529791,21280333.394,1.0
0.8464500000000003,1249512.5610000005,1.0,2764737.5220000003,1.0,47937.7,"0    133750.299924
Name: HighCarbonBudget, dtype: float64",1476180,20336131.094,1.0
0.8464500000000001,1242905.1723000002,1.0,2750117.6646000003,1.0,47897.799999999996,"0    134380.674594
Name: HighCarbonBudget, dtype: float64",1468374,20223888.094,1.0
0.8464500000000001,1231007.4711000002,1.0,2723792.1822000006,1.0,47234.1,"0    136036.712061
Name: HighCarbonBudget, dtype: float64",1454318,19700870.768999998,1.0
0.8464500000000003,1163266.9240500003,1.0,2573905.868100001,1.0,44725.09999999999,"0    140184.193289
Name: HighCarbonBudget, dtype: float64",1374289,18102484.224999998,1.0
0.8464500000000003,1231664.3163000003,1.0,2725245.5526000005,1.0,47234.1,"0    147567.105939
Name: HighCarbonBudget, dtype: float64",1455094,18161511.45,1.0
0.8464500000000003,1090381.6539000003,1.0,2412636.067800001,1.0,41950.600000000006,"0    156964.568534
Name: HighCarbonBudget, dtype: float64",1288182,15164302.888000002,1.0
0.8464500000000003,893401.7350500003,1.0,1976787.8901000002,1.0,34303.799999999996,"0    163552.266325
Name: HighCarbonBudget, dtype: float64",1055469,11900674.295999998,1.0
0.8464500000000001,661266.2083500001,1.0,1463152.5567000003,1.0,25860.6,"0    172796.784729
Name: HighCarbonBudget, dtype: float64",781223,8491586.616,1.0
0.8464500000000003,484319.22165000014,1.0,1071630.3033000003,1.0,18864.499999999996,"0    181845.882423
Name: HighCarbonBudget, dtype: float64",572177,5886101.289999998,1.0
0.8464500000000001,378523.97550000006,1.0,837542.1510000002,1.0,14735.699999999997,"0    192768.744424
Name: HighCarbonBudget, dtype: float64",447190,4337305.937999999,1.0
0.8464500000000001,301227.85440000007,1.0,666512.6688,1.0,11921.3,"0    202424.374719
Name: HighCarbonBudget, dtype: float64",355872,3341540.39,1.0
0.8464500000000001,278976.3768,1.0,617277.8736,1.0,10859.399999999998,"0    207298.060844
Name: HighCarbonBudget, dtype: float64",329584,2972326.3739999994,1.0
0.8464500000000003,285343.3737000001,1.0,631365.8274000001,1.0,11217.699999999999,"0    206400.699286
Name: HighCarbonBudget, dtype: float64",337106,3083745.7299999995,1.0
0.8464500000000003,305129.9889000001,1.0,675146.7378000001,1.0,12226.699999999999,"0    198793.189803
Name: HighCarbonBudget, dtype: float64",360482,3489744.7139999997,1.0
0.8464500000000001,398044.80540000007,1.0,880734.9708000001,1.0,15439.3,"0    194833.981985
Name: HighCarbonBudget, dtype: float64",470252,4496232.946,1.0
0.8464500000000003,554141.1892500002,1.0,1226122.0785000003,1.0,21333.6,"0    195437.972698
Name: HighCarbonBudget, dtype: float64",654665,6193570.751999999,1.0
0.8464500000000001,747620.1909000002,1.0,1654223.9418000004,1.0,28980.399999999994,"0    193822.341442
Name: HighCarbonBudget, dtype: float64",883242,8483722.295999998,1.0
