q,user-throughput,QoE,total rev,rev in percentage,ed,eb,U,ce,Objective
0.8464500000000001,393131.1631500001,1.0,869862.7863,1.0,15346.5,52767.47305953065,464447,6124174.29,1.0
0.8464500000000003,502630.4745000001,1.0,1112146.7490000003,1.0,19568.1,52201.065467999455,593810,7893575.858999999,1.0
0.8464500000000003,460006.63830000017,1.0,1017834.9966000002,1.0,18160.899999999998,51275.69045495483,543454,7458136.802999999,1.0
0.8464500000000001,457065.2245500001,1.0,1011326.6691,1.0,17550.1,51230.78071950052,539979,7213617.602999999,1.0
0.8464500000000003,342230.7388500001,1.0,757237.8177000002,1.0,13633.9,50249.099888169476,404313,5713422.134,1.0
0.8464500000000001,332577.82305000006,1.0,735879.2661000001,1.0,12930.3,49630.8753632891,392909,5486067.683999999,1.0
0.8464500000000003,287598.3165000001,1.0,636355.2330000001,1.0,11217.699999999999,49921.49972531779,339770,4731738.037,1.0
0.8464500000000003,298241.5788000001,1.0,659905.0776000002,1.0,11563.0,50032.99783575997,352344,4866519.81,1.0
0.8464500000000001,332430.54075000004,1.0,735553.3815000001,1.0,12930.3,51319.428249016135,392735,5305560.6959999995,1.0
0.8464500000000003,447645.92895000015,1.0,990485.0379000001,1.0,17457.3,53376.05586458214,528851,6887079.4229999995,1.0
0.8464500000000003,568242.1998000002,1.0,1257322.7196000002,1.0,22037.199999999997,54674.63207959781,671324,8487407.207999999,1.0
0.8464500000000003,756807.5592000003,1.0,1674552.3984000005,1.0,29073.199999999997,55228.146766513586,894096,11085029.695999999,1.0
0.8464500000000003,869153.4819000002,1.0,1923134.9238000002,1.0,33560.299999999996,54671.7930188397,1026822,12926085.148,1.0
0.8464500000000003,934747.4317500003,1.0,2068271.5635000006,1.0,36016.399999999994,53253.21885371579,1104315,14241604.887999998,1.0
0.8464500000000004,975142.5651000005,1.0,2157651.9702000003,1.0,37423.59999999999,51580.90289813908,1152038,15277810.463999996,1.0
0.8464500000000004,1024808.0188500005,1.0,2267544.3777,1.0,39494.5,51520.32638269793,1210713,16142192.040000001,1.0
0.8464500000000001,1095266.5168500002,1.0,2423444.5737,1.0,42003.5,51907.678159923824,1293953,17039559.845,1.0
0.8464500000000003,1216835.3587500004,1.0,2692434.2175000003,1.0,46530.5,52286.613361647505,1437575,18739228.265,1.0
0.8464500000000003,1249712.3232000005,1.0,2765179.526400001,1.0,47937.7,52509.570094100796,1476416,19223976.453999996,1.0
0.8464500000000001,1285273.3806000003,1.0,2843863.8012,1.0,49305.0,52482.087080069534,1518428,19782645.150000002,1.0
0.8464500000000003,1211780.3593500003,1.0,2681249.2587,1.0,46530.5,53148.37909928395,1431603,18435384.099999998,1.0
0.8464500000000003,1206393.5515500004,1.0,2669330.1231000004,1.0,46490.6,54077.8854082958,1425239,18102974.733999997,1.0
0.8464500000000003,1202154.5299500003,1.0,2659950.6399000008,1.0,46437.7,54229.68786797914,1420231,18031758.91,1.0
0.8464500000000003,1028653.4412000004,1.0,2276052.9624000005,1.0,39494.5,53969.77676176102,1215256,15409569.065000001,1.0
0.8464500000000003,817525.1106000002,1.0,1808899.2612000005,1.0,31489.399999999994,54062.61309149243,965828,12265121.299999997,1.0
0.8464500000000003,611755.6549500002,1.0,1353602.8899000003,1.0,23749.8,54497.75563326251,722731,9176685.222,1.0
0.8464500000000003,458240.09715000016,1.0,1013926.2543000001,1.0,17855.5,54514.6860981601,541367,6897043.984999999,1.0
0.8464500000000003,362218.8091500001,1.0,801464.4783000002,1.0,14337.5,53778.189291899835,427927,5613991.5,1.0
0.8464500000000001,301102.57980000007,1.0,666235.4796000001,1.0,11921.3,52634.258502602795,355724,4769354.490999999,1.0
0.8464500000000001,279914.24340000004,1.0,619353.0468000001,1.0,10859.399999999998,51580.90289813908,330692,4433241.455999999,1.0
0.8464500000000003,290630.30040000007,1.0,643063.9608000001,1.0,11523.099999999999,50309.126049159735,343352,4823108.736,1.0
0.8464500000000001,365889.01635000005,1.0,809585.3727000002,1.0,14337.5,49100.84362994054,432263,6148780.25,1.0
0.8464500000000001,534801.4996500001,1.0,1183330.0593,1.0,20669.9,49029.96134659658,631817,8877308.652,1.0
0.8464500000000003,727608.4200000003,1.0,1609944.8400000003,1.0,27971.399999999998,49186.86272018009,859600,11974836.054,1.0
0.8464500000000004,989867.4093000004,1.0,2190232.9386000005,1.0,38087.299999999996,49335.52270075512,1169434,16256421.385999998,1.0
0.8464500000000003,1177188.4872000003,1.0,2604709.4544000006,1.0,45123.3,49510.68114818908,1390736,19191390.723,1.0
0.846449999999999,1216324.9493999986,1.0,2691304.8587999977,1.0,46530.5,48755.239173735354,1436972,20096522.95,1.0
0.6583500000000015,1002697.3341000023,0.95,2218621.108200005,1.0,27814.8,47844.65100230914,1523046,12241849.776,0.975
0.6583500000000015,1050781.2430500025,0.95,2325014.106100004,1.0,29076.199999999997,46966.40526181844,1596083,13036314.27,0.975
0.6583500000000014,1014317.8699500022,0.95,2244333.3199000047,1.0,28758.6,46973.73917894241,1540697,12891905.207999999,0.975
0.6583500000000013,1000986.940800002,0.95,2214836.601600004,1.0,28373.4,48112.476978399936,1520448,12418185.978000002,0.975
0.6583500000000014,1007137.9048500021,0.95,2228446.549700004,1.0,28608.3,49155.861149298056,1529791,12255223.554,0.975
0.8464499999999991,1249512.5609999988,1.0,2764737.521999997,1.0,47937.7,49637.894958126206,1476180,20336131.094,1.0
0.846449999999999,1242905.1722999986,1.0,2750117.6645999975,1.0,47897.799999999996,49871.84188507756,1468374,20223888.094,1.0
0.8464500000000001,1231007.4711000002,1.0,2723792.1822000006,1.0,47234.1,50486.4364984447,1454318,19700870.768999998,1.0
0.8464500000000003,1163266.9240500003,1.0,2573905.8681000005,1.0,44725.09999999999,52025.66472918171,1374289,18102484.224999998,1.0
0.8464500000000003,1231664.3163000003,1.0,2725245.5526000005,1.0,47234.1,54765.63796914512,1455094,18161511.45,1.0
0.8464500000000003,1090381.6539000003,1.0,2412636.067800001,1.0,41950.600000000006,58253.25826916094,1288182,15164302.888000002,1.0
0.8464500000000003,893401.7350500003,1.0,1976787.8901000002,1.0,34303.799999999996,60698.10849514671,1055469,11900674.295999998,1.0
0.8464500000000001,661266.2083500001,1.0,1463152.5567000003,1.0,25860.6,64128.967593910034,781223,8491586.616,1.0
0.8464500000000003,484319.22165000014,1.0,1071630.3033000003,1.0,18864.499999999996,67487.30145226684,572177,5886101.289999998,1.0
0.8464500000000001,378523.97550000006,1.0,837542.1510000001,1.0,14735.699999999997,71541.03349574064,447190,4337305.937999999,1.0
0.8464500000000001,301227.85440000007,1.0,666512.6688,1.0,11921.3,75124.46592628006,355872,3341540.39,1.0
0.8464500000000001,278976.3768,1.0,617277.8736,1.0,10859.399999999998,76933.20594474554,329584,2972326.3739999994,1.0
0.8464500000000003,285343.3737000001,1.0,631365.8274000001,1.0,11217.699999999999,76600.17387826956,337106,3083745.7299999995,1.0
0.8464500000000003,305129.9889000001,1.0,675146.7378000001,1.0,12226.699999999999,73776.8474498504,360482,3489744.7139999997,1.0
0.8464500000000001,398044.80540000007,1.0,880734.9708000001,1.0,15439.3,72307.49192753347,470252,4496232.946,1.0
0.8464500000000003,554141.1892500002,1.0,1226122.0785000003,1.0,21333.6,72531.64714499966,654665,6193570.751999999,1.0
0.8464500000000001,747620.1909000002,1.0,1654223.9418000004,1.0,28980.399999999994,71932.04823097732,883242,8483722.295999998,1.0
0.8464500000000001,946961.7052500001,1.0,2095297.5105000006,1.0,36374.7,71694.48707615097,1118745,10683613.136999998,1.0
0.8464500000000003,1058451.0205500002,1.0,2341984.6611000006,1.0,40596.299999999996,72079.78297780619,1250459,11859803.081999999,1.0
0.8464500000000001,1142219.9448000002,1.0,2527336.2096,1.0,44021.5,73255.82814102035,1349424,12653980.174999999,1.0
