q,user-throughput,QoE,total rev,rev in percentage,ed,eb,U,ce,Objective
0.42322499999999896,196565.58157499952,0.85,46444.7,0.09090909090909091,7246.4,8059.704259738125,464447,2891748.384,0.47045454545454546
0.22274999999999914,132271.1774999995,0.75,59381.0,0.09090909090909091,5501.0,7973.191159649709,593810,2219048.39,0.42045454545454547
0.22274999999999925,121054.3784999996,0.75,54345.4,0.09090909090909091,5999.099999999999,7831.8493727106825,543454,2463650.397,0.42045454545454547
0.22274999999999912,120280.32224999952,0.75,53997.9,0.09090909090909091,4962.6,7824.989859355999,539979,2039777.4780000001,0.42045454545454547
0.4232249999999984,171115.36942499934,0.85,40431.3,0.09090909090909091,6932.6,7675.047921278805,404313,2905175.356,0.47045454545454546
0.4232249999999993,166288.9115249997,0.85,39290.9,0.09090909090909091,6135.5,7580.62030237366,392909,2603169.94,0.47045454545454546
0.22274999999999953,75683.76749999984,0.6,151367.53499999968,0.9090909090909091,6811.799999999999,7625.010269768607,339770,2873285.3579999995,0.7545454545454545
0.22274999999999953,78484.62599999983,0.6,156969.2519999997,0.9090909090909091,6863.799999999999,7642.040492054783,352344,2888767.5059999996,0.7545454545454545
0.22275000000000014,87481.72125000006,0.6,174963.44250000012,0.9090909090909091,7710.4,7838.5298837275695,392735,3163731.3279999997,0.7545454545454545
0.22274999999999967,117801.56024999982,0.75,52885.1,0.09090909090909091,4910.6,8152.65920227902,528851,1937280.806,0.42045454545454547
0.222749999999999,149537.42099999933,0.75,67132.4,0.09090909090909091,7433.200000000001,8351.003743810294,671324,2862822.648,0.42045454545454547
0.22275,199159.884,0.75,89409.6,0.09090909090909091,8258.0,8435.547581544,894096,3148610.2399999998,0.42045454545454547
0.18562499999999998,190603.83375,0.6,102682.2,0.09090909090909091,7430.799999999999,8350.570105647254,1026822,2862046.928,0.34545454545454546
0.18562499999999993,204988.47187499993,0.6,110431.5,0.09090909090909091,7993.4,8133.897076250812,1104315,3160750.228,0.34545454545454546
0.16706249999999964,192462.3483749996,0.4,0.0,0.0,6429.799999999999,7878.467523738723,1152038,2624901.5519999997,0.2
0.16706249999999964,202264.74056249956,0.4,0.0,0.0,6770.5,7869.215066282775,1210713,2767238.7600000002,0.2
0.16706249999999964,216171.02306249953,0.4,0.0,0.0,7242.1,7928.379179853319,1293953,2937902.7070000004,0.2
240164.87343749998,345255017931.914,0.4,0,0,8027.5,7986.257745613925,1437575,3232915.075,-1
246653.74800000002,364163540007.168,0.4,0,0,8250.3,8020.312158722997,1476416,3308535.3059999994,-1
253672.37774999999,385183241202.177,0.4,0,0,8486.1,8016.114402938703,1518428,3404877.9030000004,-1
0.16706249999999975,239167.17618749966,0.4,0.0,0.0,8001.5,8117.883851315235,1431603,3170194.3,0.2
0.16706249999999964,238103.99043749948,0.4,0.0,0.0,7988.5,8259.85665243354,1425239,3110642.0149999997,0.2
0.16706249999999964,237267.3414374995,0.4,0.0,0.0,7922.6,8283.042961347144,1420231,3076345.58,0.2
0.16706249999999956,203023.70549999946,0.4,0.0,0.0,6796.5,8243.344136891857,1215256,2651790.4050000003,0.2
0.18562499999999998,179281.82249999998,0.6,96582.8,0.09090909090909091,6999.1,8257.523958642096,965828,2726149.45,0.34545454545454546
0.2227499999999995,160988.33024999965,0.75,72273.1,0.09090909090909091,7972.5,8323.987633973697,722731,3080494.275,0.42045454545454547
0.22274999999999878,120589.49924999934,0.75,54136.7,0.09090909090909091,5041.5,8326.573593318395,541367,1947380.2049999998,0.42045454545454547
0.42322499999999863,181109.4045749994,0.85,42792.7,0.09090909090909091,7302.9,8214.081065203534,427927,2859523.5239999997,0.47045454545454546
0.22274999999999953,79237.52099999983,0.6,158475.04199999967,0.9090909090909091,6929.7,8039.357067240973,355724,2772365.079,0.7545454545454545
0.24749999999999941,81846.2699999998,0.8,196761.73999999964,1.0,7625.099999999999,7878.467523738723,330692,3112870.824,0.9
0.22274999999999953,76481.65799999984,0.6,152963.31599999967,0.9090909090909091,6824.799999999999,7684.216317591495,343352,2856588.2879999997,0.7545454545454545
0.4232249999999991,182944.5081749996,0.85,43226.3,0.09090909090909091,6770.299999999999,7499.663251156779,432263,2903510.858,0.47045454545454546
0.2227499999999994,140737.2367499996,0.75,63181.7,0.09090909090909091,5868.6,7488.8366906284255,631817,2520446.328,0.42045454545454547
0.18562499999999998,159563.25,0.6,85960.0,0.09090909090909091,6187.7,7512.801807692173,859600,2649016.247,0.34545454545454546
0.16706249999999956,195368.56762499947,0.4,0.0,0.0,6534.7,7535.508134321485,1169434,2789140.654,0.2
232339.833,323123369987.088,0.4,0,0,7778.7,7562.261836992067,1390736,3308358.897,-1
240064.13475000003,344965439839.97705,0.4,0,0,8027.5,7446.875623734884,1436972,3467077.25,-1
254443.872375,387529722045.2543,0.4,0,0,8512.1,7307.792379103645,1523046,3746345.452,-1
266645.6161875,425588535021.39355,0.4,0,0,8904.8,7173.6491176337595,1596083,3992467.08,-1
257392.69256250001,396564149252.96606,0.4,0,0,8617.0,7174.76930019429,1540697,3862828.76,-1
254009.84399999998,386208759290.112,0.4,0,0,8499.1,7348.7001208469765,1520448,3719801.097,-1
255570.70893750002,390969770396.2071,0.4,0,0,8525.1,7508.066627506178,1529791,3651982.338,-1
246614.32124999998,364047128742.82495,0.4,0,0,8250.3,7581.692475345566,1476180,3499942.266,-1
245310.23137500003,360207165685.0343,0.4,0,0,8224.3,7617.425530850712,1468374,3472546.189,-1
242962.000875,353344011188.52826,0.4,0,0,8119.4,7711.298717042117,1454318,3386520.5459999996,-1
