q,user-throughput,ed,QoE,Revenue per user,Revenue,Revenue in percentage,eb,U,ce
0.5925149999999999,275191.81420499994,12149.699999999999,0.9,0.2,65022.579999999994,0.09090909090909091,22197.382619155014,464447,4848459.282
0.5925149999999999,351841.3321499999,15495.9,0.9,0.2,83133.40000000001,0.09090909090909091,26864.56768883711,593810,6250891.101
0.5925149999999999,322004.64680999995,14207.899999999998,0.9,0.2,76083.56,0.09090909090909091,21617.3806900918,543454,5834758.293
0.5925149999999999,319945.65718499996,14075.199999999999,0.9,0.2,75597.06,0.09090909090909091,17282.07979466219,539979,5785329.455999999
0.5925149999999999,239561.51719499996,10556.4,0.9,0.2,56603.82,0.09090909090909091,14068.61882546652,404313,4423764.984
0.5925149999999999,232804.47613499998,10304.0,0.9,0.2,55007.26,0.09090909090909091,13074.223444423495,392909,4371781.12
0.5925149999999999,201318.82154999996,8883.3,0.9,0.2,47567.799999999996,0.09090909090909091,12210.727472084587,339770,3747064.7729999996
0.5925149999999999,208769.10515999998,9228.5,0.9,0.2,49328.16,0.09090909090909091,13380.896761470287,352344,3883998.795
0.5925149999999999,232701.37852499995,10251.1,0.9,0.2,54982.9,0.09090909090909091,14675.581529050498,392735,4206231.352
0.5925149999999999,313352.15026499995,13822.8,0.9,0.2,74039.14,0.09090909090909091,19531.27561785506,528851,5453232.828
0.5925149999999999,397769.53985999996,17501.2,0.9,0.2,93985.36,0.09090909090909091,25877.950342732507,671324,6740412.168
0.5925149999999999,529765.29144,23263.8,0.9,0.2,125173.44,0.09090909090909091,33737.54421947125,894096,8870021.663999999
0.5925149999999999,608407.4373299999,26729.699999999997,0.9,0.2,143755.08,0.09090909090909091,37895.562114445944,1026822,10295211.252
0.5925149999999999,654323.2022249999,28708.1,0.9,0.2,154604.1,0.09090909090909091,45668.82340802185,1104315,11351756.902
0.5925149999999999,682599.7955699998,29996.1,0.9,0.2,161285.32,0.09090909090909091,48714.344226435416,1152038,12245607.864
0.5925149999999999,717365.6131949999,31536.499999999996,0.9,0.2,169499.82,0.09090909090909091,49651.96942160893,1210713,12889598.28
0.5925149999999999,766686.5617949999,33687.5,0.9,0.2,181153.42,0.09090909090909091,52153.62597184903,1293953,13666008.125
0.5925149999999999,851784.7511249998,37418.8,0.9,0.2,201260.5,0.09090909090909091,56039.88856057408,1437575,15069673.324000001
0.5925149999999999,874798.6262399999,38401.5,0.9,0.2,206698.24,0.09090909090909091,57858.33778863898,1476416,15399769.53
0.5925149999999999,899691.3664199999,39437.1,0.9,0.2,212579.91999999998,0.09090909090909091,59488.576457393516,1518428,15823347.633
0.5925149999999999,848246.2515449999,37246.2,0.9,0.2,200424.42,0.09090909090909091,60072.5056486623,1431603,14756944.439999998
0.5925149999999999,844475.4860849999,37073.6,0.9,0.2,199533.46,0.09090909090909091,62870.11607899536,1425239,14436089.103999998
0.5925149999999999,841508.1709649998,36940.899999999994,0.9,0.2,198832.34,0.09090909090909091,62143.29275817667,1420231,14344151.469999999
0.5925149999999999,720057.4088399999,31669.199999999997,0.9,0.2,170135.84,0.09090909090909091,53760.20405976882,1215256,12356371.763999999
0.5925149999999999,572267.5774199999,25189.3,0.9,0.2,135215.92,0.09090909090909091,40958.906225930674,965828,9811232.35
0.5925149999999999,428228.9584649999,18882.0,0.9,0.2,101182.34,0.09090909090909091,28857.69028701571,722731,7295815.9799999995
0.5925149999999999,320768.06800499995,14155.0,0.9,0.2,75791.37999999999,0.09090909090909091,23600.50851735833,541367,5467651.85
0.5925149999999999,253553.16640499997,11153.999999999998,0.9,0.2,59909.78,0.09090909090909091,15101.777249974462,427927,4367460.239999999
0.5925149999999999,210771.80585999996,9308.3,0.9,0.2,49801.36,0.09090909090909091,12739.288244557203,355724,3723971.581
0.5925149999999999,195939.97037999996,8670.8,0.9,0.2,46296.880000000005,0.09090909090909091,12161.109972075248,330692,3539767.392
0.5925149999999999,203441.21027999997,9016.0,0.9,0.2,48069.28,0.09090909090909091,13323.150272362383,343352,3773736.96
0.5925149999999999,256122.31144499997,11286.699999999997,0.9,0.2,60516.82,0.09090909090909091,15440.820449563958,432263,4840414.161999999
0.5925149999999999,374361.0497549999,16518.5,0.9,0.2,88454.38,0.09090909090909091,22398.804973456266,631817,7094365.38
0.5925149999999999,509325.8939999999,22400.799999999996,0.9,0.2,120344.0,0.09090909090909091,34979.55670271659,859600,9590006.487999998
0.5925149999999999,692907.1865099999,30381.199999999997,0.9,0.2,163720.76,0.09090909090909091,45170.85088561923,1169434,12967303.783999998
0.5925149999999999,824031.9410399998,36170.7,0.9,0.2,194703.04,0.09090909090909091,53563.8711998307,1390736,15383760.417
0.5925149999999999,851427.4645799999,37418.8,0.9,0.2,201176.08,0.09090909090909091,54680.71962028248,1436972,16161179.72
0.5925149999999999,902427.6006899999,39609.7,0.9,0.2,213226.44,0.09090909090909091,56210.94887076252,1523046,17433021.163999997
0.5925149999999999,945703.1187449999,41535.2,0.9,0.2,223451.62,0.09090909090909091,57951.504672688745,1596083,18622306.919999998
0.5925149999999999,912886.0829549999,40034.7,0.9,0.2,215697.58,0.09090909090909091,55344.85074953154,1540697,17946755.315999996
0.5925149999999999,900888.2467199998,39556.799999999996,0.9,0.2,212862.71999999997,0.09090909090909091,51641.556761943924,1520448,17312824.656
0.5925149999999999,906424.1143649998,39782.3,0.9,0.2,214170.74,0.09090909090909091,49454.556281805875,1529791,17041941.674000002
0.5925149999999999,874658.7926999999,38401.5,0.9,0.2,206665.19999999998,0.09090909090909091,46762.58642449672,1476180,16290684.330000002
