MaxCarbonBudget,MinCarbonBudget,AVGCarbonBudget
16526129.105999999,720495.8189999999,8623312.462499999
17318006.53,753105.916,9035556.223000001
17682016.439999998,768935.5679999999,9225476.003999999
19586132.178,845347.9879999999,10215740.083
23991323.148000002,1044440.956,12517882.052000001
24485274.215999994,1070958.044,12778116.129999997
24045421.25,1036615.51,12541018.38
22397969.00699999,979948.428,11688958.717499996
20432216.302,887197.908,10659707.105
19401143.81,847361.3699999999,10124252.59
19874517.615000002,861578.0070000001,10368047.811
20317406.255999997,885785.5439999999,10601595.899999999
18177263.295999996,790031.1799999999,9483647.237999998
14483322.140999999,627569.9550000001,7555446.0479999995
10831906.535999998,476502.323,5654204.4295
8152221.395999999,358536.156,4255378.776
6726472.263,287595.38399999996,3507033.8235
5570675.200999999,246175.47499999998,2908425.3379999995
5581622.601,248857.755,2915240.178
5254418.369,226900.624,2740659.4965
7327954.959,329583.072,3828769.0154999997
12515898.615,537883.3130000001,6526890.964
20857104.922,918831.704,10887968.313
25691988.922,1127132.9,13409560.910999998
28958458.295999996,1254600.628,15106529.461999997
29226982.125,1261529.5,15244255.8125
27974071.323,1218313.476,14596192.3995
29635242.229999997,1288743.956,15461993.092999998
35318564.457,1529155.524,18423859.9905
35817780.798,1552947.552,18685364.175
32628239.825,1410555.875,17019397.85
28826707.504,1246824.292,15036765.898
25306951.571999997,1090651.527,13198801.549499998
24571975.47,1066160.928,12819068.199
23546168.373,1025592.011,12285880.192
22808258.522,981684.7580000001,11894971.64
19504389.531000003,844098.36,10174243.945500001
14133458.737999998,612410.1900000001,7372934.463999999
9543464.4,419822.94999999995,4981643.675
6442484.238999998,274673.85699999996,3358579.047999999
4983040.103,219770.65600000002,2601405.3795000003
4206495.2639999995,186970.47999999998,2196732.8719999995
4430956.08,204212.39999999997,2317584.24
5149299.102,228876.26499999998,2689087.6835
7104317.885999998,310015.51399999997,3707166.6999999993
11616082.8,507792.0,6061937.4
18469677.295999996,800481.664,9635079.479999999
21434486.549999997,926505.525,11180496.037499998
25091065.764,1086868.152,13088966.957999999
26579108.603999995,1151517.322,13865312.962999998
26051431.734,1134856.548,13593144.141
26347931.159999996,1150914.756,13749422.957999999
28527663.210999995,1250653.4470000002,14889158.328999998
27726664.541999996,1211934.216,14469299.378999997
25622328.486,1106865.96,13364597.223000001
24366713.463999998,1053251.012,12709982.237999998
21827152.535999995,952730.6039999998,11389941.569999997
20682790.667999998,890235.118,10786512.893
20161161.453999996,871466.057,10516313.755499998
19324389.467999995,835296.594,10079843.030999998
17034978.059999995,743557.59,8889267.824999997
13154640.941999998,568758.9299999999,6861699.935999999
10231171.566,448103.208,5339637.387
7831624.103999998,337091.20399999997,4084357.653999999
5991662.835,264796.865,3128229.85
4953082.875,224117.59999999998,2588600.2375
4266206.208,190417.92,2228312.064
4704649.873,207904.675,2456277.2739999997
5189335.017999999,229323.55,2709329.2839999995
6218526.711999999,274260.224,3246393.468
9027413.109,392644.40599999996,4710028.757499999
12228026.959999997,539600.206,6383813.582999999
15021578.543999998,659641.504,7840610.023999999
17462076.66,760987.4580000001,9111532.059
18586608.224999998,816196.185,9701402.204999998
20561182.236,900379.7039999999,10730780.97
22501508.562,989568.3330000001,11745538.4475
23623663.376000002,1032866.102,12328264.739
24115121.04,1044262.8670000001,12579691.953499999
25304445.893999998,1102004.63,13203225.261999998
25255574.173999995,1101713.87,13178644.021999998
24947518.905999996,1078356.3229999999,13012937.614499997
25408932.119999997,1092091.572,13250511.845999999
26063748.103999995,1136968.52,13600358.311999997
26256193.751999997,1143312.24,13699752.995999997
21258854.839999996,933542.9039999999,11096198.871999998
15893561.417999998,692418.818,8292990.117999999
11446513.78,508031.1,5977272.4399999995
8252348.039999999,365463.09,4308905.5649999995
6370808.316,288613.784,3329711.05
5550589.880999999,247474.15499999997,2899032.0179999997
5027245.51,216341.55200000003,2621793.531
4860233.064,216887.576,2538560.3200000003
6663066.375,286041.315,3474553.845
9314396.416000001,404008.392,4859202.404000001
13555888.2,596331.975,7076110.087499999
20325254.667,878892.204,10602073.4355
25395377.138000004,1097830.42,13246603.779000003
27059430.869999997,1174089.888,14116760.378999999
28807220.978,1246834.386,15027027.682
30275923.15,1309603.239,15792763.1945
31907012.687,1372569.517,16639791.102
34011178.26099999,1485309.9549999998,17748244.107999995
36230119.002000004,1570944.804,18900531.903
35641951.34199999,1547537.71,18594744.525999997
36785006.875,1585828.265,19185417.57
37792883.68799999,1638706.5759999997,19715795.131999996
37386464.99999999,1611757.5599999998,19499111.279999997
33753260.912,1452765.968,17603013.44
26212915.717999995,1129078.9819999998,13670997.349999998
18376621.383999996,802222.2559999999,9589421.819999998
12740756.868,549230.976,6644993.922
8699645.75,389196.1,4544420.925
7499190.355999999,331399.1,3915294.727999999
8473175.75,363748.19,4418461.97
7688271.226999998,354334.43499999994,4021302.830999999
10252964.380999997,451894.1939999999,5352429.287499999
16938396.487999998,751777.5599999999,8845087.023999998
26909079.480000004,1155121.4000000001,14032100.440000001
33209515.959999993,1427365.4759999998,17318440.717999995
39530557.827,1729527.708,20630042.7675
41775173.75,1800957.9700000002,21788065.86
41876803.528,1825914.2719999999,21851358.9
42839234.364,1857375.936,22348305.15
47625175.151999995,2066210.0219999999,24845692.586999997
48340490.463,2088045.0840000003,25214267.7735
45407724.606000006,1976784.9819999998,23692254.794000003
42973902.933,1855147.775,22414525.354
39234904.278,1687799.298,20461351.788
38097448.442999996,1648934.091,19873191.266999997
40450175.415,1753713.375,21101944.395
38059150.666999996,1662089.8850000002,19860620.275999997
31064931.64,1350246.9300000002,16207589.285
22367984.132,976100.7039999999,11672042.418
14145171.072,622254.896,7383712.984
9392347.183,406575.363,4899461.273
7954656.76,348218.32,4151437.54
6833682.624999999,293365.765,3563524.1949999994
6837673.527999999,302165.8,3569919.6639999994
7489072.091,328498.505,3908785.298
9142159.015999999,400201.71199999994,4771180.363999999
14787600.617999997,646433.5199999999,7717017.068999998
24297092.118,1057750.824,12677421.471
29759593.571999997,1286493.48,15523043.525999999
33698566.25,1456371.25,17577468.75
34774625.339999996,1509751.152,18142188.246
35723662.239999995,1551090.24,18637376.24
38302669.11699999,1672724.6350000002,19987696.875999995
44270716.614999995,1917045.261,23093880.937999997
46081633.71,1992786.33,24037210.02
42944396.87499999,1851364.025,22397880.449999996
40170038.26,1746869.2719999999,20958453.766
36659647.419999994,1590636.6080000002,19125142.014
36626852.60999999,1589213.6639999996,19108033.136999995
38006667.426,1655442.7820000001,19831055.104
37735818.87,1630851.63,19683335.25
30566631.185999997,1331171.97,15948901.577999998
22783913.841,989678.415,11886796.127999999
16717280.184,732687.714,8724983.949000001
11083467.5,499749.94999999995,5791608.725
8140243.32,368773.68000000005,4254508.5
7062792.707999999,313927.31,3688360.008999999
6929770.337999999,318338.055,3624054.196499999
7461694.646999999,333045.40499999997,3897370.0259999996
9028269.864,409003.53599999996,4718636.7
15912221.441999998,706232.79,8309227.1159999985
25597557.724,1109155.6199999999,13353356.672
32295809.375999995,1406492.496,16851150.935999997
37946998.422,1643747.796,19795373.108999997
40534278.907,1743695.537,21138987.222
40886338.43799999,1777951.0979999998,21332144.767999995
43273524.965,1881830.1979999999,22577677.5815
49219463.035,2119520.13,25669491.5825
50762667.724999994,2198164.815,26480416.269999996
47339045.73,2052540.81,24695793.27
45328034.44,1948646.767,23638340.603499997
41936834.64,1831860.0240000002,21884347.332000002
42248043.324,1820760.309,22034401.8165
43975365.129999995,1908060.512,22941712.821
44928888.555,1944538.164,23436713.3595
39511135.65,1733392.5,20622264.075
29358859.913000003,1284897.525,15321878.719
20498059.659999996,914379.345,10706219.502499998
13808198.144000001,598925.328,7203561.7360000005
10121607.422999999,458534.5019999999,5290070.962499999
9418645.616999999,415887.19500000007,4917266.4059999995
9478696.296999998,418876.075,4948786.185999999
9567043.969,422780.275,4994912.122
11118906.661999999,496197.11199999996,5807551.886999999
17214935.099999998,752798.4299999999,8983866.764999999
28093146.718999997,1220478.225,14656812.472
35067076.78,1530263.686,18298670.233
40489214.949999996,1756798.8800000001,21123006.915
42523295.815,1840493.6549999998,22181894.735
42111224.289,1831215.5189999999,21971219.904
43029513.611999996,1882612.848,22456063.229999997
47803462.885,2084328.7399999998,24943895.8125
48672156.08499999,2122205.54,25397180.812499996
45519374.524,1967423.696,23743399.11
42977465.153,1874873.679,22426169.415999997
38923445.0,1679782.5,20301613.75
38916442.133999996,1685395.32,20300918.726999998
41992946.26799999,1809766.4130000002,21901356.340499997
42554708.403,1847790.162,22201249.2825
36037435.29,1572608.3730000001,18805021.8315
28334721.03,1236842.4300000002,14785781.73
19056257.999999996,818073.3599999999,9937165.679999998
13449522.2,606434.5880000001,7027978.393999999
10051101.586,443291.07200000004,5247196.329
8689975.181999998,384021.44999999995,4536998.315999999
8231182.301999999,367390.73,4299286.516
7950553.395999999,367139.45999999996,4158846.4279999994
10258797.277999999,461401.02400000003,5360099.151
17352532.366,770158.17,9061345.268000001
26597852.236999996,1155516.675,13876684.455999998
31527941.196000002,1376159.094,16452050.145000001
36234222.304,1572139.4619999998,18903180.882999998
37583405.13599999,1627998.048,19605701.591999996
36065398.116,1554210.878,18809804.496999998
36608834.112,1577727.7920000001,19093280.952000003
38962090.58999999,1690538.0159999998,20326314.302999996
38883145.247999996,1678332.312,20280738.779999997
37655306.567999996,1648103.9669999997,19651705.2675
35496377.40999999,1534330.6549999998,18515354.032499995
32245448.031999998,1410533.992,16827991.012
32097555.0,1406941.2,16752248.1
32787480.992,1422357.244,17104919.118
34999819.217999995,1524236.61,18262027.913999997
30306543.119999997,1327131.68,15816837.399999999
24293605.28,1043566.7200000002,12668586.0
18844201.641999997,815001.8169999998,9829601.7295
14461995.719999999,635482.179,7548738.949499999
9984199.978,437062.39600000007,5210631.187
7466618.357999999,333265.17,3899941.7639999995
6515857.187999999,290769.692,3403313.4399999995
7488976.016999999,345149.385,3917062.7009999994
6773980.754999999,303403.21400000004,3538691.9844999993
8634212.531,381557.225,4507884.878
10924235.246,497532.27800000005,5710883.762
15466262.592,665791.5210000001,8066027.0565
20941776.754,924653.197,10933214.9755
26195512.482999995,1143321.7739999997,13669417.128499998
26763982.928999998,1165144.572,13964563.7505
28648426.331999995,1247187.076,14947806.703999998
31351013.328,1368436.392,16359724.860000001
32649228.950000003,1415252.872,17032240.911000002
33876261.692,1469800.913,17673031.302500002
33909732.584,1471253.126,17690492.855
33806656.528,1478083.6060000001,17642370.066999998
33030324.767999995,1432892.076,17231608.422
33166960.047,1426482.1739999999,17296721.1105
35551112.327999994,1539649.44,18545380.883999996
34439550.599999994,1499837.0,17969693.799999997
25759421.345,1116421.48,13437921.4125
18933982.41,816775.6100000001,9875379.01
13531195.59,591710.787,7061453.1885
8831619.574000001,403142.941,4617381.2575
7818770.306,351658.048,4085214.177
7015050.567,310004.325,3662527.446
5625599.024999999,251967.77000000002,2938783.3975
5556176.145,249217.02000000002,2902696.5824999996
7416432.583000001,327741.925,3872087.254
9328053.650999999,424835.943,4876444.796999999
14311287.095999997,623177.52,7467232.307999998
21248729.487,912140.5349999999,11080435.011
26518567.799999997,1146264.9,13832416.349999998
28297111.92,1232031.592,14764571.756000001
30252004.68,1321450.1879999998,15786727.434
33502512.449999996,1449171.2969999998,17475841.873499997
33753390.21599999,1470184.312,17611787.263999995
33404321.944,1452594.024,17428457.983999997
34182008.07999999,1486468.576,17834238.327999994
33167690.049999997,1434688.353,17301189.2015
31525419.684999995,1362453.065,16443936.374999998
29591721.851999998,1288764.6239999998,15440243.237999998
28537317.281999994,1236355.051,14886836.166499997
23857600.0,1029600.0,12443600.0
18024953.417999998,784699.2239999999,9404826.320999999
12566373.481999999,551048.3679999999,6558710.925
7922373.3999999985,348427.4,4135400.3999999994
5564569.67,245255.58000000002,2904912.625
4634162.609999999,204789.75,2419476.1799999997
4674949.965,208433.575,2441691.77
4910731.787999999,226324.13999999998,2568527.963999999
6402093.8040000005,290031.096,3346062.45
10499311.824,461175.576,5480243.699999999
17696866.503999997,766814.5199999999,9231840.511999998
22378931.444,981785.8,11680358.622
26748902.25,1170309.0,13959605.625
28219649.445,1223460.125,14721554.785
29449090.592999995,1276762.425,15362926.508999998
31794895.030999996,1386322.444,16590608.737499997
36087324.546,1575041.208,18831182.876999997
37043167.38199999,1610455.288,19326811.334999997
34799093.28,1513852.704,18156472.992
32739112.031999998,1414215.264,17076663.648
28969185.546,1254856.428,15112020.987
27818954.118,1205031.9239999999,14511993.021
28095267.816,1222738.3960000002,14659003.106
25759923.336,1121101.516,13440512.425999999
19644979.88,853917.3200000001,10249448.6
12979114.761,561169.8150000001,6770142.288
8242516.007999999,362593.419,4302554.7135
5284426.755999999,225305.72400000002,2754866.2399999998
3944677.1379999993,173974.976,2059326.0569999996
3574338.75,153444.15000000002,1863891.45
3229805.072,148854.16,1689329.6160000002
3658595.441,168616.105,1913605.773
5029043.189,226186.912,2627615.0505
8599425.318,370139.1429999999,4484782.2305
14827626.798,653057.172,7740341.985
18788672.689999998,819022.46,9803847.575
21266345.33,927156.7949999999,11096751.0625
22191943.72,958614.44,11575279.08
20753266.104999997,902494.6059999999,10827880.355499998
19653470.380000003,848961.26,10251215.820000002
20735835.486999996,892939.8659999999,10814387.676499998
21282212.754,916511.544,11099362.149
20537309.266,891709.3300000001,10714509.298
