CarbonBudget
4069789.562485936
3198882.654341944
2471071.403815702
2198817.9550061906
2051225.5208185907
1991577.5433194814
2215858.4678930333
2802063.903546732
3881334.2440097034
5255095.994190555
6539575.257085573
7217934.788088983
7438784.7123253085
7544805.0041126525
7613721.536847365
7727886.676305246
7938733.027214503
8105395.74621162
8100306.490105428
8242255.88586465
8276063.283408023
7857249.058981346
6619919.603810564
5045211.463684162
3790812.4154715175
2915549.895447204
2407748.2213704726
2106993.243932045
1992979.4586668299
2244885.3856219063
3143701.2283696714
5106283.796335282
7253022.971830053
8925735.241483666
10078401.48895371
10249311.398938216
10201299.834021699
10739551.407113722
11019625.356825372
10412667.681411738
9255356.623354357
8335014.7110522315
7925527.6601263955
8067829.795876241
8353969.820129659
7854032.610653995
6405292.14581584
4758447.818940994
3488635.372657066
2713599.43873185
2264035.927079728
1998372.33906875
1953316.5314835915
2263931.7422723705
3337598.6574315205
5450606.9139008485
7626743.263901407
9180427.36785835
10128715.767090417
10105593.151229909
10102419.63620229
10496333.004737834
10700242.708275497
10112651.958150348
9000427.619653936
8093655.492288072
7616517.8112813085
7737661.501011327
7965114.795724502
7518555.012210643
6178915.274793623
4669407.704443265
3527020.1468849923
2780489.519719068
2321599.178032502
2098891.444050042
2042477.4316645756
2318821.1073176456
3400313.7898637033
5494618.240170051
7586983.364705168
9037139.254568987
9975631.076223109
9888096.37494729
9919119.061425447
10232014.087674558
10385138.27717762
9817622.680053387
9322678.098137314
8150222.003754195
7332267.882615428
7497153.163003514
7782346.937330769
7400097.916644847
6213056.865142133
4658697.735224556
3519767.175601615
2770680.2079624096
2317476.295959152
2077155.1384975212
2003778.5930585274
2256722.231369238
3229027.6480830577
5146405.078346409
7194497.317229588
8538619.833340619
9415802.330529086
9447399.476438612
9409099.00701012
9716369.827158254
9824260.356126871
9261028.413592517
8384247.266610725
7544155.908784974
7117076.940992907
7167850.943502763
7208688.355113637
7138893.295817794
6019917.9114146065
4644004.707158926
3525723.103277796
2788810.22218532
2359397.655119246
2114072.8878139565
1966168.7006258802
2248362.181478851
3251912.1488426966
5181008.80381335
7132064.410488494
8500874.8635663
9324441.79809043
9171950.731647458
8814712.93405519
8637685.658546835
8390151.944347978
7782285.571334349
7149149.116051863
6624819.495442726
6277234.363007691
6280519.733592217
6449861.261515202
6441875.667764481
5789150.751366878
4670389.102430808
3706823.7757762154
2960505.983288178
2415714.5810029116
2129746.9768812307
1958278.0180897738
1990641.1394300596
2261307.5445037647
2836025.0595475556
3667032.964604167
4681326.560893713
5604875.991396846
6065646.46814541
6160513.719060779
6258898.638334441
6320702.439924248
6390731.460321695
6504369.035392432
6540378.396012617
6328006.939807971
6277050.265018428
6438012.81567632
6558606.730192129
6026823.6597713865
5044366.765322976
