timestamp,De
0115200000,1582825
0115210000,1579837
0115220000,1429723
0115230000,1141366
011600000,862068
011610000,679880
011620000,516649
011630000,437001
011640000,404663
011650000,378682
011660000,480510
011670000,769544
011680000,1276420
011690000,1562575
0116100000,1856409
0116110000,2010021
0116120000,1928644
0116130000,1833011
0116140000,1928642
0116150000,1861264
0116160000,1621988
0116170000,1484823
0116180000,1370843
0116190000,1315132
0116200000,1327470
0116210000,1363017
0116220000,1265262
0116230000,1069318
011700000,867575
011710000,697326
011720000,519805
011730000,351137
011740000,318093
011750000,299402
011760000,339795
011770000,401632
011780000,539358
011790000,724651
0117100000,1004450
0117110000,1161049
0117120000,1301414
0117130000,1321480
0117140000,1337038
0117150000,1403212
0117160000,1449067
0117170000,1409606
0117180000,1364885
0117190000,1399853
0117200000,1404674
0117210000,1378336
0117220000,1348686
0117230000,1217379
011800000,935960
011810000,755136
011820000,570652
011830000,490840
011840000,393919
011850000,378838
011860000,408503
011870000,378344
011880000,615028
011890000,776511
0118100000,1126756
0118110000,1401411
0118120000,1511332
0118130000,1525771
0118140000,1619152
0118150000,1624887
0118160000,1664962
0118170000,1787865
0118180000,1737925
0118190000,1767725
0118200000,1722745
0118210000,1674325
0118220000,1445320
0118230000,1134488
011900000,792043
011910000,549328
011920000,401321
011930000,351942
011940000,355102
011950000,342735
011960000,409489
011970000,648169
011980000,1198703
011990000,1529789
0119100000,1925329
0119110000,2041598
0119120000,2001144
0119130000,2008522
0119140000,2231572
0119150000,2240496
0119160000,2026968
0119170000,1824931
0119180000,1614628
0119190000,1581974
0119200000,1712444
0119210000,1737179
0119220000,1391549
0119230000,1089485
012000000,720386
012010000,510943
012020000,391179
012030000,342827
012040000,318559
012050000,310555
012060000,425400
012070000,698932
012080000,1202764
012090000,1610797
0120100000,1923050
0120110000,1994325
0120120000,1932919
0120130000,2019207
0120140000,2085081
0120150000,2114322
0120160000,1929609
0120170000,1752500
0120180000,1622839
0120190000,1600277
0120200000,1604058
0120210000,1565103
0120220000,1351993
0120230000,993993
012100000,719207
012110000,538020
012120000,439953
012130000,399156
012140000,355385
012150000,360572
012160000,450263
012170000,720906
012180000,1243643
012190000,1588386
0121100000,1975764
0121110000,2018284
0121120000,1927217
0121130000,1876294
0121140000,2077227
0121150000,2128777
0121160000,2027029
0121170000,1784620
0121180000,1691498
0121190000,1605223
0121200000,1582504
0121210000,1592226
0121220000,1322637
0121230000,969698
012200000,696521
012210000,501943
012220000,400367
012230000,316020
012240000,275131
012250000,276439
012260000,376538
012270000,655061
012280000,1167679
012290000,1499555
0122100000,1786785
0122110000,1954308
0122120000,1880211
0122130000,1874629
0122140000,2090087
0122150000,2044999
0122160000,1971058
0122170000,1959460
0122180000,1776330
0122190000,1599194
0122200000,1616589
0122210000,1598630
0122220000,1444850
0122230000,1136883
012300000,858104
012310000,627029
012320000,504865
012330000,417641
012340000,391032
012350000,375627
012360000,469951
012370000,754929
012380000,1308638
012390000,1601885
0123100000,1928831
0123110000,1994124
0123120000,1854980
0123130000,1690529
0123140000,1838193
0123150000,1771281
0123160000,1552641
0123170000,1434337
0123180000,1353425
0123190000,1308327
0123200000,1306299
0123210000,1279218
0123220000,1231168
0123230000,975743
012400000,745714
012410000,566455
012420000,420760
012430000,334801
012440000,291852
012450000,273930
012460000,266652
012470000,363346
012480000,503958
012490000,708621
0124100000,981624
0124110000,1220060
0124120000,1279599
0124130000,1299050
0124140000,1351814
0124150000,1395627
0124160000,1454619
0124170000,1542274
0124180000,1434554
0124190000,1354681
0124200000,1306461
0124210000,1344437
0124220000,1374429
0124230000,1130750
012500000,874676
012510000,692514
012520000,505342
012530000,430055
012540000,344274
012550000,308207
012560000,316790
012570000,349740
012580000,511948
012590000,778152
0125100000,1193464
0125110000,1376467
0125120000,1504533
0125130000,1636690
0125140000,1687698
0125150000,1700102
0125160000,1735306
0125170000,1791079
0125180000,1739124
0125190000,1748677
0125200000,1629495
0125210000,1584839
0125220000,1421061
0125230000,1082184
012600000,761476
012610000,583804
012620000,428188
012630000,350736
012640000,363729
012650000,340527
012660000,468877
012670000,715142
012680000,1226585
012690000,1548407
0126100000,1896491
0126110000,2021289
0126120000,1989525
0126130000,2024820
0126140000,2223741
0126150000,2189805
0126160000,2005414
0126170000,1889534
0126180000,1725874
0126190000,1627306
0126200000,1711182
0126210000,1581545
0126220000,1314526
0126230000,1015354
012700000,757810
012710000,620742
012720000,455863
012730000,374973
012740000,339094
012750000,334068
012760000,430627
012770000,726873
012780000,1273926
012790000,1746578
0127100000,1963737
0127110000,2041956
0127120000,1918485
0127130000,1959917
0127140000,2169461
0127150000,2113573
0127160000,2000691
0127170000,1805795
0127180000,1618848
0127190000,1589720
0127200000,1572965
0127210000,1548481
0127220000,1381141
0127230000,1042314
012800000,709907
012810000,526140
012820000,393645
012830000,324321
012840000,287827
012850000,301723
012860000,390507
012870000,662859
012880000,1200106
012890000,1550440
0128100000,1931186
0128110000,1934749
0128120000,1889735
0128130000,1915403
0128140000,2024731
0128150000,2035093
0128160000,1865743
0128170000,1675244
0128180000,1560160
0128190000,1455459
0128200000,1518260
0128210000,1647722
0128220000,1529838
0128230000,1200637
012900000,858205
012910000,664510
012920000,513831
012930000,418568
012940000,390963
012950000,382908
012960000,485341
012970000,712625
012980000,1270290
012990000,1584996
0129100000,1815812
0129110000,1925886
0129120000,1857811
0129130000,1821073
0129140000,1944052
0129150000,1921857
0129160000,1758273
0129170000,1585876
0129180000,1464099
0129190000,1416137
0129200000,1486536
0129210000,1482599
0129220000,1379762
0129230000,1010776
013000000,689954
013010000,546614
013020000,450250
013030000,387417
013040000,379093
013050000,356347
013060000,426569
013070000,644858
013080000,1185346
013090000,1500510
0130100000,1714305
0130110000,1725923
0130120000,1646511
0130130000,1624591
0130140000,1681010
0130150000,1583945
0130160000,1504034
0130170000,1290383
0130180000,1183116
0130190000,1121711
0130200000,1154339
0130210000,1200258
0130220000,1121341
0130230000,953224
013100000,747292
013110000,621672
013120000,458301
013130000,374355
013140000,345405
013150000,320563
013160000,311689
013170000,355188
013180000,482044
013190000,673003
0131100000,888420
0131110000,1096513
0131120000,1172420
0131130000,1169410
0131140000,1241334
0131150000,1226271
0131160000,1235924
0131170000,1268270
0131180000,1261163
0131190000,1186230
0131200000,1203483
0131210000,1241485
0131220000,1200356
0131230000,1015311
02100000,792924
02110000,590988
02120000,468396
02130000,364482
02140000,283047
02150000,282233
02160000,278471
02170000,331394
02180000,463384
02190000,728128
021100000,1066962
021110000,1363567
021120000,1454394
021130000,1559738
021140000,1574430
021150000,1532694
021160000,1594493
021170000,1704834
021180000,1622400
021190000,1618751
021200000,1570596
021210000,1536437
021220000,1370119
021230000,1044615
02200000,750793
02210000,571385
02220000,423076
02230000,340344
02240000,314588
02250000,291124
02260000,374392
02270000,589485
02280000,1031735
02290000,1437609
022100000,1772040
022110000,1805004
022120000,1783617
022130000,1885923
022140000,2049582
022150000,1969210
022160000,1822300
022170000,1635190
022180000,1506011
022190000,1467164
022200000,1525477
022210000,1483566
022220000,1282093
022230000,922811
02300000,652557
02310000,464077
02320000,347304
02330000,291875
02340000,253770
02350000,270358
02360000,334561
02370000,605375
02380000,1130370
02390000,1519235
023100000,1739570
023110000,1810583
023120000,1789431
023130000,1819673
023140000,1993650
023150000,1949288
023160000,1805161
023170000,1598998
023180000,1437284
023190000,1421349
023200000,1424620
023210000,1412888
023220000,1221724
023230000,882242
02400000,638194
02410000,463837
02420000,339104
02430000,272559
02440000,247800
02450000,249993
02460000,335197
02470000,589899
02480000,1075550
02490000,1419063
024100000,1737029
024110000,1853781
024120000,1789132
024130000,1763318
024140000,1903988
024150000,1893019
024160000,1795109
024170000,1620887
024180000,1407464
024190000,1355084
024200000,1408181
024210000,1395628
024220000,1169467
024230000,894220
02500000,635689
02510000,453450
02520000,359801
02530000,307755
02540000,281474
02550000,283981
